[TCP] RX serial=04 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=05 src=FE dst=00 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=06 src=FE dst=01 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=07 src=FE dst=00 code=00 reg=0x0200000B len=1 wlen=0
[TCP] RX serial=08 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=09 src=FE dst=00 code=00 reg=0x02000023 len=1 wlen=0
[TCP] RX serial=0A src=FE dst=02 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=0B src=FE dst=00 code=00 reg=0x03100109 len=1 wlen=0
[TCP] RX serial=0C src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=0D src=FE dst=00 code=00 reg=0x02000022 len=1 wlen=0
[TCP] RX serial=0E src=FE dst=03 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=0F src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=10 src=FE dst=04 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=11 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=12 src=FE dst=05 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=13 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=14 src=FE dst=06 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=15 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=16 src=FE dst=07 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=17 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=18 src=FE dst=08 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=19 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=1A src=FE dst=09 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=1B src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=1C src=FE dst=0A code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=1D src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=1E src=FE dst=0B code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=1F src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=20 src=FE dst=0C code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=21 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=22 src=FE dst=0D code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=23 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=24 src=FE dst=0E code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=25 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=26 src=FE dst=0F code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=27 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=28 src=FE dst=00 code=00 reg=0x05065000 len=10 wlen=0
[TCP] RX serial=29 src=FE dst=00 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=2A src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=2B src=FE dst=01 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=2C src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=2D src=FE dst=02 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=2E src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=2F src=FE dst=03 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=30 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=31 src=FE dst=04 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=32 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=33 src=FE dst=05 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=34 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=35 src=FE dst=06 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=36 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=37 src=FE dst=07 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=38 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=39 src=FE dst=08 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=3A src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=3B src=FE dst=09 code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=3C src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=3D src=FE dst=0A code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=3E src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=3F src=FE dst=0B code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=40 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=41 src=FE dst=0C code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=42 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=43 src=FE dst=0D code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=44 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=45 src=FE dst=0E code=00 reg=0x05000000 len=4 wlen=0
[TCP] RX serial=46 src=FE dst=00 code=00 reg=0x02100000 len=15 wlen=0
[TCP] RX serial=47 src=FE dst=0F code=00 reg=0x05000000 len=4 wlen=0
